moment_id,title,year,category,image_path,caption,notes
hof-001,Jordan Howard in the First Round,2018,League Lore,images/hof-moment-1.jpg, Confidence was high but logic was nowhere to be found and the reach became legendary. Nothing fuels draft-night delusion quite like ignoring the rankings you spent all offseason making.,TBD
hof-002,DK Metcalf Putting Up a Fat Zero in the Championship,2019,Championship Lure,images/hof-moment-2.jpg,Miner rode DK Metcalf all the way to the Championship expecting his superstar receiver to deliver when it mattered most. Instead DK put up a big beautiful fat zero on the biggest stage of the season. Years of trying to just make it to the championship game - it was all taken away by a goose egg when Miner needed him most.,TBD
hof-003,Colts Missing the Playoffs,2021,League History, images/hof-moment-3.jpg,Jan 2021 - Hunter declared that it was the Colts year after trading for Carson Wentz. A delusional fan base since before the retirement of Andrew Luck gave them even more fuel. Thanks to Carson Wentz and the Colts losing to the Jags in Jacksonville - their playoff hopes were crushed.,
hof-004,Aaron Rodgers tearing his Achilles after 3 Snaps as the new Jets QB,2024,League History,images/hof-moment-4.jpg,Aaron Rodgers arrived in New York as the Jets long-awaited savior even running out of the tunnel opening evening in electric style with an American Flag. It took just three snaps into his new chapter for Achilles to gave out and the entire Jets fan base watched their championship hopes disappear . Decades of suffering somehow found a brand-new way to hurt.,TBD
