year,champion,runner_up,final_score,record
2014,Bard,Muffin,149-148,12-3-1
2015,Sabella,Bard,144-118,11-5
2016,Jake,Bard,179-99,12-3-1
2017,Bard,Muffin,139-115,12-4
2018,Muff,Sco,151-143,8-8
2019,Jake,Miner,163-157,11-5
2020,Sco,Bard,174-126,12-4
2021,Sco,Bard,152-93,11-7
2022,No Winner,NA,NA,NA
2023,Jake,Muffin,155-131,8-9
2024,Muff,Bard,166-149,12-3-1
2025,Gary,Hunter,164-93,10-6
