owner_id,opponent_id,opponent_name,total_games,record,win_pct,points_for,points_against,margin
Muffin,Eric,A.A. Ron Rodgers,9,6-3,0.667,892,811,81
Muffin,Gary,The Fantasy Football Team ,21,15-6,0.714,2785,2549,236
Muffin,Hunter,Most Valuable Potheads,28,15-12-1,0.536,3380,3361,19
Muffin,Jake,Cincinnati Harambes ,28,12-16,0.429,3380,3597,-217
Muffin,Kyle,Life Sucks then You Die,16,9-7,0.563,2020,1860,160
Muffin,Miller,Team Miller,2,2-0,1,191,156,35
Muffin,Miner,Jakes Brothers and Sisters,24,13-11,0.542,2926,2931,-5
Muffin,Sabella,Team Sabella,9,4-5,0.444,971,874,97
Muffin,Sco,Trin Coll Pest Control,19,8-11,0.421,2457,2472,-15

Sabella,Bard,The Commish,9,4-5,0.444,948,1060,-112
Sabella,Charlie,Shivakamini Somakandarkram,6,6-0,1,573,387,186
Sabella,Eric,A.A. Ron Rodgers,10,5-5,0.5,971,920,51
Sabella,Gary,The Fantasy Football Team ,3,2-1,0.667,371,350,21
Sabella,Hunter,Most Valuable Potheads,9,6-3,0.667,871,881,-10
Sabella,Jake,Cincinnati Harambes ,6,1-5,0.167,666,754,-88
Sabella,Miller,Team Miller,2,1-1,0.5,206,181,25
Sabella,Miner,Jakes Brothers and Sisters,10,8-2,0.8,1199,978,221
Sabella,Muffin,Committed Not Addicted,9,5-4,0.556,874,971,-97

Sco,Bard,The Commish,19,10-9,0.526,2406,2473,-67
Sco,Gary,The Fantasy Football Team,16,10-6,0.625,2103,2016,87
Sco,Hunter,Most Valuable Potheads,18,10-8,0.556,2259,2305,-46
Sco,Jake,Cincinnati Harambes ,17,12-5,0.706,2194,1896,298
Sco,Kyle,Life Sucks then You Die,18,10-8,0.556,2257,2163,94
Sco,Miner,Jakes Brothers and Sisters,23,13-10,0.565,2853,2756,97
Sco,Muffin,Committed Not Addicted,19,11-8,0.579,2472,2457,15
