feature_label,feature_title,feature_year,feature_description,image_path,feature_link,button_text
From the Archives,2025 Championship Night,2025,Gary wins his first KKL title in a blowout championship performance.,images/archive/2025-championship.png,champions.html,View Memory
From the Archives,2024 Draft Room,2024,A look back at one of the wildest draft nights in league history.,images/archive/2024-draft-room.png,draft.html,View Draft Archive
